run,steps,collisions,intimate,close intimate,person,social,public
0,266,0,0,0,57,1106,21066
1,217,0,0,0,0,289,16716
2,241,0,0,0,0,659,18333
3,213,0,0,0,0,327,16303
4,393,0,0,221,1172,4000,26089
5,214,0,0,0,0,203,18032
6,470,0,0,0,76,5065,28890
7,388,0,0,0,0,3551,19269
8,376,0,0,0,0,2873,19522
9,272,0,0,0,0,1039,23142
10,328,0,0,0,0,2704,17175
11,389,0,0,0,0,2155,19358
12,352,0,0,0,207,1680,26765
13,219,0,0,0,0,404,18400
14,212,0,0,0,0,19,19164
15,432,0,0,0,0,3496,27903
16,412,0,0,0,0,3552,25965
17,439,0,0,5,140,3809,25830
18,436,0,0,0,92,3302,25153
19,424,0,0,0,607,3694,19893
20,470,0,0,137,471,4206,31032
21,365,0,0,0,0,1455,27531
22,452,0,0,0,2,2385,19249
23,265,0,0,0,0,1120,18342
24,369,0,0,0,315,1664,20747
25,362,0,0,0,0,1228,18296
26,217,0,0,0,0,574,15454
27,574,0,0,0,142,4485,30364
28,242,0,0,0,0,706,19792
29,485,0,0,90,949,3950,21088
30,252,0,0,0,0,1339,17362
31,482,0,0,0,121,3347,24387
32,243,0,0,0,0,1107,18770
33,264,0,0,0,0,872,20737
34,422,0,0,27,1298,7661,26490
35,564,0,4,70,316,3525,31020
36,226,0,0,0,0,692,20560
37,429,0,3,67,739,3904,16107
38,214,0,0,0,0,238,16173
39,214,0,0,0,0,120,16517
40,393,0,0,0,0,2398,24637
41,212,0,0,0,0,58,15171
42,278,0,0,0,0,1282,17841
43,358,0,0,12,277,1999,19775
44,212,0,0,0,0,371,16910
45,378,0,0,0,226,3229,20525
46,483,0,0,0,316,5056,27501
47,221,0,0,0,0,521,20396
48,245,0,0,0,0,1582,16125
49,215,0,0,0,0,523,16977
50,403,0,0,0,0,2122,23787
51,249,0,0,0,0,1394,18900
52,430,0,0,0,0,1470,21171
53,302,0,0,0,0,1225,23319
54,344,0,0,0,114,3015,25749
55,416,0,0,93,625,4916,24574
56,525,0,23,313,1863,4640,17441
57,309,0,0,0,233,2245,17017
58,216,0,0,0,0,469,18943
59,488,0,0,0,0,1898,26836
60,427,0,0,0,0,2096,27271
61,407,0,0,0,0,1831,29232
62,235,0,0,0,0,756,14525
63,393,0,0,62,530,2644,16517
