run,steps,collisions,intimate,close intimate,person,social,public
0,328,0,0,0,34,1659,22438
1,312,0,6,31,107,1611,22681
2,326,0,0,0,44,1485,19690
3,328,0,12,64,380,2187,19972
4,322,0,0,0,82,1888,28620
5,324,0,0,0,0,304,21566
6,320,0,0,0,15,1376,24499
7,312,0,0,12,189,1277,22076
8,308,0,28,70,201,1409,19441
9,320,0,44,176,571,3226,19919
10,316,0,0,0,3,1351,18684
11,330,0,0,0,132,2232,26154
12,304,0,3,32,205,2013,18804
13,318,0,0,0,61,1507,21860
14,328,0,25,191,554,2992,22410
15,324,0,0,0,0,792,26052
16,318,0,0,0,0,37,22973
17,322,0,0,34,349,2558,21954
18,318,0,0,0,0,72,22188
19,316,0,0,26,386,3617,23511
20,322,0,5,37,365,2359,22884
21,318,0,0,47,275,3521,17609
22,314,0,0,12,333,1954,19050
23,316,0,2,20,139,1554,19195
24,322,0,0,0,90,951,21417
25,320,0,0,0,33,812,23282
26,316,0,0,4,132,3052,22284
27,326,0,0,35,280,2326,18963
28,322,0,7,66,624,4104,18578
29,318,0,43,87,185,700,24070
30,318,0,0,0,43,617,15153
31,330,0,5,22,217,1725,21559
32,330,0,22,126,483,3353,22414
33,330,0,0,28,144,1468,22469
34,320,0,2,13,102,1584,20845
35,314,0,3,25,115,995,26136
36,314,0,0,0,72,1159,21939
37,318,0,0,0,0,166,21281
38,314,0,0,0,8,2476,16812
39,326,0,0,0,63,2847,22756
40,314,0,0,0,19,1172,20817
41,308,0,3,32,420,5328,19102
42,322,0,0,0,90,2350,16697
43,320,0,0,0,62,1212,19886
44,314,0,18,121,433,3744,22252
45,320,0,12,82,513,3608,22504
46,310,0,0,0,0,128,16804
47,314,0,4,27,168,1597,24554
48,314,0,0,0,45,560,22264
49,320,0,0,1,405,3171,19272
50,326,0,6,97,371,1312,21930
51,320,0,13,99,462,1940,15393
52,320,0,3,47,315,2827,14172
53,324,0,12,166,473,3453,17826
54,322,0,0,0,5,2385,25962
55,314,0,0,0,19,945,26560
56,314,0,0,0,0,145,19850
57,326,0,0,2,163,1050,18093
58,310,0,0,0,56,927,18382
59,328,0,3,29,234,1578,18432
60,318,0,0,17,295,2362,20641
61,308,0,0,20,237,2767,21107
62,326,0,0,0,218,1712,20399
63,322,0,7,121,676,4415,18825
64,336,0,4,17,82,1241,25814
65,318,0,6,40,102,649,16807
66,328,0,6,20,272,2581,21803
67,310,0,0,2,101,681,24487
68,318,0,0,0,41,1701,24005
69,312,0,0,39,576,4794,22030
70,316,0,0,12,215,2156,21017
71,314,0,6,38,273,3298,22557
72,326,0,6,24,258,3105,22624
73,322,0,14,44,298,2359,19119
74,332,0,0,0,0,9,17020
75,312,0,4,47,357,2556,21427
76,316,0,0,7,151,639,16406
77,314,0,39,181,414,1695,21172
78,314,0,0,61,396,3564,22664
79,314,0,0,24,265,2226,27295
80,316,0,0,0,20,483,23325
81,328,0,2,106,636,1662,21020
82,322,0,0,0,70,917,24537
83,310,0,0,45,215,1553,23291
84,316,0,0,7,70,785,25279
85,318,0,0,0,121,2948,23156
86,314,0,3,27,141,1365,16133
87,326,0,6,47,284,2450,21181
88,322,0,0,15,143,1097,20392
89,338,0,0,39,266,2348,24335
90,320,0,2,83,829,4536,20449
91,320,0,0,0,26,1356,25159
92,306,0,5,74,497,2478,22878
93,328,0,10,72,345,2476,18723
94,322,0,42,43,209,1973,20514
95,326,0,3,63,453,2392,23583
96,306,0,11,36,233,2072,18053
97,322,0,5,102,525,2706,21122
98,310,0,0,5,611,3314,20936
99,314,0,4,57,315,2012,23563
100,328,0,2,64,233,1842,22156
101,320,0,26,69,121,2681,19608
102,324,0,0,6,58,1590,25841
103,322,0,0,0,30,1229,18368
104,322,0,6,31,178,1435,26792
105,320,0,5,40,133,1053,18319
106,322,0,0,9,301,3263,16758
107,310,0,0,0,19,610,23152
108,320,0,0,11,114,2322,22731
109,328,0,0,0,7,501,20485
110,316,0,0,0,1,150,17962
111,312,0,7,18,118,1149,23193
112,324,0,1,44,220,1736,17510
113,326,0,5,32,343,4231,24381
114,320,0,6,42,131,1149,17976
115,320,0,0,0,169,3324,21255
116,326,0,21,10,68,1047,23146
117,330,0,2,7,68,783,24349
118,324,0,0,52,312,1044,26801
119,320,0,3,104,410,2945,25390
120,310,0,0,8,199,3486,21085
121,328,0,0,0,0,218,18495
122,314,0,0,27,241,1493,23888
123,314,0,0,0,0,1221,22814
124,324,0,3,33,289,4812,22350
125,328,0,0,0,0,426,22683
126,318,0,18,158,806,2973,15099
127,318,0,14,56,350,2267,22531
128,308,0,0,0,0,1446,17979
129,334,0,0,7,214,1418,21940
130,310,0,3,27,496,2362,19527
131,318,0,5,13,134,1494,20221
132,326,0,5,39,164,2022,21482
133,328,0,1,25,176,1567,23489
134,314,0,2,33,243,1761,22919
135,312,0,9,61,155,1295,25067
136,310,0,21,70,264,2579,21071
137,324,0,0,9,46,989,21902
138,320,0,0,0,0,248,21602
139,312,0,0,28,124,875,25384
140,324,0,0,0,0,172,24257
141,318,0,0,0,71,288,23409
142,306,0,5,9,211,3564,21925
143,316,0,0,11,214,2560,19066
144,340,0,6,52,194,1314,14607
145,320,0,0,8,87,1340,19100
146,320,0,5,18,152,2023,25199
147,324,0,6,123,788,2986,26286
148,318,0,0,3,73,2015,21079
149,322,0,0,0,0,154,15158
150,320,0,5,24,150,1816,25583
151,310,0,0,0,0,342,22239
152,326,0,0,13,358,1044,20542
153,312,0,0,0,37,757,24227
154,316,0,3,11,155,2172,25397
155,308,0,0,0,0,291,22951
156,304,0,4,50,116,1809,16671
157,326,0,52,298,1270,3998,19340
158,318,0,14,117,1146,4675,21285
159,324,0,12,106,521,1908,20966
160,328,0,15,75,568,3771,21419
161,316,0,3,116,893,3970,19009
162,320,0,4,27,209,2579,21108
163,318,0,0,19,114,1040,17794
164,326,0,3,15,106,1171,22275
165,324,0,5,137,209,978,20970
166,304,0,0,0,21,1217,26101
167,320,0,0,0,4,1145,22051
168,326,0,2,32,273,1792,18288
169,324,0,33,244,1385,4506,19904
170,316,0,4,28,267,2701,23148
171,328,0,0,26,174,876,14104
172,322,0,0,0,0,1506,19926
173,304,0,0,0,0,217,22319
174,318,0,0,33,178,1856,22979
175,306,0,0,0,53,349,22396
176,322,0,23,163,648,2743,18102
177,326,0,0,29,447,3567,16911
178,336,0,0,51,159,3927,21808
179,318,0,0,10,123,2138,25606
180,310,0,0,14,174,987,21180
181,324,0,0,67,522,3868,23140
182,322,0,0,1,210,1941,22719
183,318,0,0,29,285,1953,18940
184,316,0,7,61,282,1952,25144
185,312,0,0,47,528,3776,18573
186,326,0,0,1,96,1950,26415
187,310,0,3,7,66,1444,19425
188,316,0,0,0,73,2972,20635
189,344,0,0,0,17,698,20939
190,326,0,2,32,133,1369,19083
191,308,0,12,89,794,4264,24206
192,326,0,3,16,115,1684,25215
193,324,0,0,0,19,779,24209
194,326,0,4,18,275,3245,19786
195,318,0,2,31,138,1179,22632
196,312,0,0,0,275,3189,18935
197,320,0,7,37,491,3687,17519
198,310,0,0,48,125,1833,22465
199,318,0,7,36,385,3171,23947
200,326,0,0,8,77,677,21204
201,312,0,18,48,143,2158,19747
202,310,0,0,29,285,2140,16057
203,336,0,13,55,599,1270,18554
204,326,0,0,0,65,789,20328
205,334,0,0,0,56,1484,16592
206,332,0,0,3,85,1018,24839
207,322,0,0,0,79,1394,26283
208,314,0,0,0,47,1790,22604
209,314,0,1,28,325,2317,21810
210,322,0,2,20,85,732,21307
211,328,0,0,0,12,924,23842
212,306,0,0,0,48,1215,20635
213,314,0,9,93,309,2811,16979
214,316,0,0,0,106,1989,19073
215,306,0,6,15,35,635,21167
216,316,0,6,107,337,1989,26696
217,312,0,12,46,337,2690,21378
218,326,0,23,71,425,2054,24153
219,320,0,5,39,302,2411,24133
220,312,0,0,0,76,1423,25404
221,322,0,0,7,347,2399,21444
222,318,0,5,49,320,2035,25101
223,316,0,16,60,341,3908,21180
224,316,0,6,24,135,2184,24611
225,314,0,10,337,1223,5985,16065
226,310,0,53,217,601,3857,21371
227,332,0,0,25,160,2821,20176
228,314,0,0,0,27,1027,23625
229,322,0,5,16,124,2201,25182
230,326,0,7,113,608,3306,22955
231,322,0,0,0,0,412,21529
232,310,0,0,0,0,193,25389
233,314,0,0,24,403,3020,24945
234,312,0,0,0,0,9,24596
235,320,0,0,0,0,61,16559
