run,steps,collisions,intimate,close intimate,person,social,public
0,218,0,0,0,0,321,8293
1,213,0,0,0,0,0,8170
2,230,0,0,0,0,481,9287
3,286,0,0,0,0,1000,8854
4,346,0,0,0,0,1910,9058
5,306,0,0,0,0,592,10919
6,217,0,0,0,0,161,7736
7,212,0,0,0,0,0,7162
8,213,0,0,0,0,50,9682
9,214,0,0,0,0,89,5872
10,212,0,0,0,0,0,8110
11,361,0,0,0,0,963,10004
12,425,0,0,96,649,2516,10915
13,308,0,0,0,0,1262,7812
14,213,0,0,0,0,0,8596
15,260,0,0,0,0,1058,7835
16,212,0,0,0,0,47,8891
17,433,0,0,13,286,2941,13897
18,213,0,0,0,0,0,10650
19,346,0,0,0,164,1912,13358
20,213,0,0,0,0,0,9229
21,316,0,0,15,523,2366,8050
22,345,0,0,0,0,1284,10510
23,368,0,0,0,242,2749,10812
24,221,0,0,0,0,529,8248
25,508,0,1,74,705,1687,12353
26,212,0,0,0,0,0,9857
27,216,0,0,0,0,330,10236
28,254,0,0,0,0,1038,9355
29,311,0,0,0,0,1134,8793
30,217,0,0,0,0,467,7027
31,265,0,0,0,0,673,11650
32,213,0,0,0,0,0,9282
33,212,0,0,0,0,125,8843
34,255,0,0,0,0,570,10145
35,358,0,0,0,0,599,8553
36,239,0,0,0,0,505,9564
37,217,0,0,0,0,270,9440
38,257,0,0,0,0,972,7256
39,339,0,0,0,0,785,14599
40,212,0,0,0,0,228,7187
41,212,0,0,0,0,139,7915
42,212,0,0,0,0,0,7654
43,213,0,0,0,0,0,9446
44,366,0,0,0,0,614,12974
45,420,0,0,0,0,2202,8864
46,213,0,0,0,0,93,9217
47,338,0,0,0,300,2340,11473
48,315,0,0,0,3,1435,7688
49,214,0,0,0,0,0,9983
50,213,0,0,0,0,197,8144
51,285,0,0,0,0,1254,8680
52,552,0,0,0,305,1950,12638
53,216,0,0,0,0,522,9652
54,259,0,0,0,0,996,11265
55,501,0,0,0,63,1979,8532
56,450,0,0,6,485,2412,14627
57,219,0,0,0,0,501,9214
58,339,0,0,0,0,1631,13629
59,213,0,0,0,0,0,7991
60,232,0,0,0,0,436,9402
61,216,0,0,0,0,173,9804
62,468,0,0,0,300,1981,8753
63,363,0,0,36,373,2091,12039
64,406,0,0,0,181,1395,7633
65,278,0,0,0,0,672,8579
66,235,0,0,0,0,975,7898
67,214,0,0,0,0,281,8677
68,213,0,0,0,0,0,9546
69,263,0,0,0,0,328,8061
70,357,0,0,0,130,2117,10603
71,238,0,0,0,0,597,7151
72,212,0,0,0,0,0,8921
73,278,0,0,0,0,691,12037
74,231,0,0,0,0,336,9721
75,212,0,0,0,0,0,9512
76,307,0,0,0,152,1075,7779
77,251,0,0,0,51,1300,11199
78,213,0,0,0,0,0,8101
79,214,0,0,0,0,12,8881
80,320,0,0,0,17,2259,8546
81,219,0,0,0,0,251,6941
82,212,0,0,0,0,81,7269
83,314,0,0,0,0,856,12529
84,213,0,0,0,0,0,8421
85,213,0,0,0,0,49,9738
86,217,0,0,0,0,520,8374
87,495,0,0,0,12,2654,10643
88,219,0,0,0,0,492,8581
89,217,0,0,0,0,335,9145
90,375,0,0,0,198,2121,12470
91,219,0,0,0,0,299,8929
92,492,0,0,0,49,3154,17088
93,583,0,0,66,729,1943,12757
94,340,0,0,1,176,1356,10994
95,212,0,0,0,0,0,6834
96,230,0,0,0,0,619,9345
97,255,0,0,0,0,1350,10710
98,362,0,0,0,0,1621,12528
99,341,0,0,0,0,1202,9414
100,215,0,0,0,0,698,10052
101,232,0,0,0,0,665,9985
102,222,0,0,0,0,80,6859
103,214,0,0,0,0,76,10032
104,213,0,0,0,0,0,8871
105,213,0,0,0,0,0,7693
106,226,0,0,0,0,303,9656
107,214,0,0,0,0,158,7504
108,216,0,0,0,0,77,10723
109,297,0,0,0,33,1362,9273
110,213,0,0,0,0,0,9135
111,259,0,0,0,15,541,8778
112,358,0,0,0,0,1390,8954
113,213,0,0,0,0,0,7501
114,310,0,0,0,0,1123,10190
115,273,0,0,0,43,1557,10203
116,214,0,0,0,0,110,9119
117,223,0,0,0,0,551,7479
118,382,0,0,0,0,1613,14671
119,213,0,0,0,0,0,8383
120,359,0,0,0,195,3015,12514
121,304,0,0,0,0,561,11734
122,213,0,0,0,0,0,7458
123,314,0,0,0,0,559,8989
124,213,0,0,0,0,75,8158
125,375,0,0,10,515,1311,14110
126,219,0,0,0,0,404,10546
127,325,0,0,0,0,1432,7739
128,219,0,0,0,0,106,5809
129,275,0,0,0,0,810,5579
130,439,0,0,0,0,1601,14925
131,216,0,0,0,0,174,8883
132,222,0,0,0,0,336,9678
133,314,0,0,0,0,1027,8019
134,424,0,0,9,483,1273,8748
135,364,0,0,0,117,2918,10442
136,257,0,0,0,0,790,10371
137,213,0,0,0,0,0,9376
138,213,0,0,0,0,0,10431
139,333,0,0,0,565,2363,10502
140,213,0,0,0,0,436,9801
141,212,0,0,0,0,0,9675
142,216,0,0,0,0,263,5584
143,260,0,0,0,0,704,9827
144,212,0,0,0,0,0,10541
145,212,0,0,0,0,430,9436
146,426,0,0,0,140,1303,12871
147,214,0,0,0,0,183,10517
148,526,0,0,208,1754,4815,10863
149,239,0,0,0,0,566,7872
150,213,0,0,0,0,20,7917
151,234,0,0,0,0,384,8459
152,212,0,0,0,0,0,10517
153,372,0,0,0,0,2417,10215
154,476,0,0,16,521,1715,15145
155,273,0,0,0,0,932,10603
156,298,0,0,0,8,1787,5764
157,285,0,0,0,51,1339,11176
158,397,0,0,0,417,2538,12888
159,220,0,0,0,0,65,8051
160,319,0,0,0,0,576,13624
161,400,0,0,0,0,1203,10519
162,213,0,0,0,0,9,6940
163,213,0,0,0,0,0,9557
164,212,0,0,0,0,0,8568
165,631,0,0,177,847,1709,8298
166,214,0,0,0,0,103,8945
167,474,0,0,0,0,1822,12382
168,213,0,0,0,0,287,9160
169,246,0,0,0,0,656,10516
170,229,0,0,0,0,510,8691
171,215,0,0,0,0,375,8991
172,569,0,0,0,241,2859,11396
173,234,0,0,0,0,583,9549
174,212,0,0,0,0,208,9324
175,255,0,0,0,0,2133,10565
176,536,0,0,29,931,3491,7360
