run,steps,collisions,intimate,close intimate,person,social,public
0,314,0,3,15,225,905,8508
1,310,0,0,0,0,322,9758
2,320,0,0,0,0,1141,8790
3,340,0,7,104,216,1054,12559
4,318,0,15,138,634,1322,7599
5,314,0,0,0,40,587,13077
6,314,0,0,0,104,926,11792
7,320,0,0,0,0,630,13443
8,330,0,17,199,930,2597,3407
9,314,0,6,46,227,2289,12533
10,322,0,7,90,203,854,6411
11,320,0,0,0,0,20,14229
12,322,0,0,4,127,682,9585
13,316,0,0,0,0,530,11231
14,316,0,0,0,21,486,10068
15,320,0,0,0,44,1060,12155
16,308,0,0,0,0,267,11987
17,318,0,0,0,0,113,8037
18,320,0,0,0,29,439,6553
19,324,0,0,0,0,51,6991
20,324,0,0,0,0,131,11069
21,318,0,0,0,14,236,10068
22,316,0,0,0,24,787,14141
23,334,0,0,0,0,138,13639
24,314,0,0,0,0,426,14883
25,334,0,0,0,0,0,10015
26,316,0,0,0,37,536,9557
27,316,0,9,14,286,2306,7452
28,314,0,0,0,0,269,8941
29,324,0,0,0,17,1142,11250
30,322,0,0,0,0,0,11003
31,318,0,32,138,318,2175,8588
32,318,0,0,0,0,0,12069
33,316,0,0,0,9,1077,11095
34,314,0,0,0,19,775,11012
35,312,0,3,32,84,441,6022
36,308,0,0,29,267,2011,12729
37,328,0,3,36,134,1379,11340
38,322,0,1,16,57,920,11576
39,326,0,0,0,0,391,11764
40,324,0,0,0,0,57,11967
41,324,0,0,0,3,352,13369
42,322,0,0,0,75,1096,12044
43,326,0,53,206,832,4614,4790
44,312,0,0,0,9,521,14106
45,304,0,0,19,94,1207,13127
46,318,0,1,24,90,1384,8085
47,310,0,0,0,1,681,8795
48,316,0,0,0,0,1065,13060
49,322,0,3,34,108,1273,11425
50,324,0,0,19,283,1740,8737
51,318,0,0,7,65,722,11376
52,310,0,0,0,14,559,11217
53,316,0,0,0,89,1101,12498
54,308,0,0,0,0,261,10352
55,332,0,0,3,32,608,8544
56,326,0,3,17,106,948,8537
57,314,0,0,0,0,0,12417
58,308,0,0,5,401,1531,11770
59,320,0,0,0,8,697,11760
60,316,0,0,19,233,938,7463
61,318,0,12,38,231,1643,8562
62,318,0,0,0,0,46,11620
63,316,0,0,0,0,0,10502
64,306,0,3,25,153,792,10491
65,322,0,0,0,38,426,15502
66,314,0,0,0,0,513,8879
67,316,0,0,0,0,0,9073
68,322,0,0,0,30,1124,8734
69,318,0,0,0,0,813,11094
70,308,0,4,69,444,819,12251
71,320,0,0,0,30,495,12278
72,316,0,0,0,0,284,13005
73,330,0,0,45,56,1829,11796
74,304,0,7,36,66,678,9282
75,320,0,0,0,0,150,9420
76,324,0,0,0,0,59,15599
77,340,0,3,29,119,1158,11684
78,316,0,3,9,118,2379,10575
79,316,0,5,26,139,1253,12484
80,320,0,0,3,49,2382,4280
81,328,0,0,0,0,65,10461
82,324,0,11,74,215,863,14153
83,322,0,6,20,237,3327,11378
84,308,0,0,0,67,1790,8627
85,314,0,0,0,0,0,12358
86,322,0,0,9,161,1252,8369
87,320,0,7,21,198,782,9766
88,322,0,6,16,102,674,8967
89,314,0,0,0,29,975,9954
90,318,0,0,0,0,72,12678
91,320,0,0,0,0,7,9309
92,328,0,0,0,0,8,11399
93,330,0,0,0,0,793,11431
94,324,0,5,70,678,2601,11953
95,318,0,0,0,21,354,13231
96,320,0,0,0,0,0,12477
97,324,0,0,0,82,1883,6517
98,330,0,9,26,231,2113,9485
99,328,0,0,0,0,166,11797
100,320,0,0,0,0,0,11988
101,316,0,0,22,155,751,8567
102,330,0,7,38,299,1857,13230
103,320,0,0,2,44,877,12338
104,314,0,0,0,0,0,9810
105,326,0,0,0,0,51,9883
106,330,0,0,0,0,528,9791
107,328,0,0,0,89,1547,12662
108,314,0,0,0,41,794,12310
109,310,0,0,0,0,0,12536
110,316,0,0,1,70,657,7399
111,304,0,0,107,537,2405,10033
112,316,0,0,0,18,375,15227
113,322,0,0,7,43,395,11049
114,312,0,0,0,0,0,12725
115,322,0,0,0,0,290,13239
116,318,0,3,28,232,2521,10945
117,308,0,3,21,176,1199,10375
118,312,0,0,0,144,1414,10958
119,322,0,0,0,0,28,12579
120,306,0,0,0,43,1069,9535
121,324,0,0,0,0,0,13865
122,304,0,0,0,45,1117,9815
123,316,0,5,50,170,654,14767
124,320,0,3,14,80,676,8502
125,330,0,0,0,0,16,13550
